,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y)
285567,1,영업/정상,1,영업,서울특별시 강남구 역삼동 820-9번지 GLASS TOWER ,서울특별시 강남구 강남대로 406 GLASS TOWER 지하1층 B01-1호 (역삼동),6134,(주)감성타코 강남역점,U,2019.6.13 2:40,경양식,202376.6258,444091.8899
282358,1,영업/정상,1,영업,서울특별시 강남구 청담동 96-4 ,서울특별시 강남구 도산대로75길 21 지하1지상5층 (청담동),6015,(주)경희 고기준,U,2020.11.28 2:40,한식,203944.6516,447039.3056
281370,1,영업/정상,1,영업,서울특별시 강남구 신사동 656-24 ,서울특별시 강남구 도산대로49길 36 지상2층 (신사동),6019,(주)골드피쉬얌차하우스,I,2020.10.17 0:23,경양식,203217.022,447008.2233
288129,1,영업/정상,1,영업,서울특별시 강남구 삼성동 151-4번지 지하1층지상1층 ,서울특별시 강남구 삼성로 542 (삼성동지하1층지상1층),6166,(주)곰바위,U,2018.12.8 2:40,한식,204815.6183,445334.0866
285758,1,영업/정상,1,영업,서울특별시 강남구 삼성동 157-19번지 ,서울특별시 강남구 삼성로92길 13 (삼성동),6168,(주)공영식품 기소야삼성점,I,2018.8.31 23:59,분식,205018.5409,445089.8527
293539,1,영업/정상,1,영업,서울특별시 강남구 대치동 507-2 대치퍼스트 지상1층 119120121호,서울특별시 강남구 삼성로 155 지상1층 119120121호 (대치동 대치퍼스트 ),6291,(주)공차코리아 대치점,U,2021.12.7 0:06,까페,205496.33,443515.7022
286562,1,영업/정상,1,영업,서울특별시 강남구 역삼동 820-9 글라스타워 201호,서울특별시 강남구 강남대로 406 201호 (역삼동 글라스타워),6134,(주)공차코리아(글라스타워점),U,2021.12.7 0:06,까페,202376.6258,444091.8899
288021,1,영업/정상,1,영업,서울특별시 강남구 대치동 984-0번지 지상1층 ,서울특별시 강남구 도곡로99길 16 (대치동지상1층),6189,(주)광양본가,I,2018.8.31 23:59,한식,205766.5314,444407.2205
285472,1,영업/정상,1,영업,서울특별시 강남구 역삼동 823 삼원타워 ,서울특별시 강남구 테헤란로 124 삼원타워 지상1층2층 102호201호 (역삼동),6234,(주)광양불고기본가,U,2021.1.7 2:40,한식,202722.5318,444055.0707
287110,1,영업/정상,1,영업,서울특별시 강남구 신사동 528-3번지 덕산빌딩 ,서울특별시 강남구 압구정로 108 덕산빌딩 지상1층 일부9호 11호 (신사동),6028,(주)구에스티케이,U,2018.9.6 23:59,경양식,201749.4564,446742.8281
288847,1,영업/정상,1,영업,서울특별시 강남구 삼성동 141-28번지 동신빌딩 ,서울특별시 강남구 테헤란로 409 (삼성동동신빌딩),6162,(주)구즈구내식당,I,2018.8.31 23:59,한식,204389.2637,444809.6501
291056,1,영업/정상,1,영업,서울특별시 강남구 세곡동 590번지 라온 프라이빗시티 ,서울특별시 강남구 헌릉로569길 13 라온 프라이빗시티 1층 101102호 (세곡동),6376,(주)군산횟집,I,2019.9.19 2:22,일식,208790.93,440518.11
282378,1,영업/정상,1,영업,서울특별시 강남구 삼성동 140-29번지 ,서울특별시 강남구 선릉로94길 9 (삼성동),6161,(주)김돈이,I,2018.8.31 23:59,한식,204281.6368,444887.4624
291449,1,영업/정상,1,영업,서울특별시 강남구 논현동 183-6 ,서울특별시 강남구 강남대로118길 22 지상2층 (논현동),6120,(주)낙타브루잉,U,2021.8.22 2:40,한식,202163.0436,444941.07
289736,1,영업/정상,1,영업,서울특별시 강남구 논현동 144-8번지 지상1층 ,서울특별시 강남구 학동로2길 39 (논현동지상1층),6114,(주)뉴광명수산,I,2018.8.31 23:59,일식,202003.6827,445207.159
287291,1,영업/정상,1,영업,서울특별시 강남구 대치동 945-11번지 지상2층 ,서울특별시 강남구 테헤란로98길 14 (대치동지상2층),,(주)니하오마중원,I,2018.8.31 23:59,중국식,205430.6754,445034.546
291241,1,영업/정상,1,영업,서울특별시 강남구 논현동 94-9번지 더채플앳 청담 ,서울특별시 강남구 선릉로 757 더채플앳 청담 1층 (논현동),6055,(주)다로베,I,2019.6.6 2:21,경양식,203368.3497,446664.5786
290484,1,영업/정상,1,영업,서울특별시 강남구 역삼동 673 ,서울특별시 강남구 언주로97길 27 지하1층 (역삼동),6139,(주)다린이앤엠,I,2022.2.16 0:22,한식,203395.2956,444734.0226
281481,1,영업/정상,1,영업,서울특별시 강남구 삼성동 119-9 케이빌딩 ,서울특별시 강남구 삼성로 571 케이빌딩 지하1층 5호 (삼성동),6154,(주)닥터로빈 삼성점,U,2021.9.19 2:40,경양식,204639.1348,445571.7953
285971,1,영업/정상,1,영업,서울특별시 강남구 논현동 143-3 ,서울특별시 강남구 학동로2길 28 (논현동),6114,(주)달맞이,U,2021.7.1 2:40,한식,201948.7105,445260.592
289897,1,영업/정상,1,영업,서울특별시 강남구 신사동 662-6번지 (지상1층) ,서울특별시 강남구 언주로172길 55 (신사동(지상1층)),6018,(주)닭으로가,U,2019.8.9 2:40,한식,203324.8155,447194.8937
291027,1,영업/정상,1,영업,서울특별시 강남구 역삼동 636-7번지 ,서울특별시 강남구 테헤란로13길 29 1층 105호 (역삼동),6130,(주)담희-1지점,I,2019.8.29 2:22,한식,202731.4905,444365.587
290860,1,영업/정상,1,영업,서울특별시 강남구 역삼동 636-7번지 ,서울특별시 강남구 테헤란로13길 29 나동 지상1층 102호 (역삼동),6130,(주)담희-2지점,I,2019.6.30 2:21,분식,202731.4905,444365.587
291031,1,영업/정상,1,영업,서울특별시 강남구 대치동 913-12번지 대치빌딩 ,서울특별시 강남구 삼성로 343 대치빌딩 지하1층 04호 (대치동),6202,(주)담희-3지점,I,2019.8.29 2:22,한식,205127.1938,444435.9761
290861,1,영업/정상,1,영업,서울특별시 강남구 역삼동 636-7번지 ,서울특별시 강남구 테헤란로13길 29 가동 지상1층 102호 (역삼동),6130,(주)담희-논현지점,I,2019.6.30 2:21,한식,202731.4905,444365.587
291030,1,영업/정상,1,영업,서울특별시 강남구 대치동 913-12번지 대치빌딩 ,서울특별시 강남구 삼성로 343 대치빌딩 지하1층 03호 (대치동),6202,(주)담희-대치지점,I,2019.8.29 2:22,한식,205127.1938,444435.9761
290862,1,영업/정상,1,영업,서울특별시 강남구 역삼동 636-7번지 ,서울특별시 강남구 테헤란로13길 29 가동 지상1층 104호 (역삼동),6130,(주)담희-역삼지점,I,2019.6.30 2:21,한식,202731.4905,444365.587
287559,1,영업/정상,1,영업,서울특별시 강남구 신사동 515-10번지 ,서울특별시 강남구 강남대로152길 33 지상1층 (신사동),6035,(주)대한곱창,U,2019.11.29 2:40,한식,201877.5261,446200.8548
289567,1,영업/정상,1,영업,서울특별시 강남구 청담동 131-16번지 ,서울특별시 강남구 영동대로 728 34층 (청담동),6075,(주)더 발렌티 리더스,U,2020.1.11 2:40,경양식,204883.6031,446761.0783
204589,1,영업/정상,1,영업,서울특별시 강남구 압구정동 369-1 현대아파트,서울특별시 강남구 압구정로29길 71 점포2동 1층 101102호 (압구정동 현대아파트),6002,(주)더박스 하루일과 압구정점,U,2021.12.4 23:09,경양식,202398.5944,447864.7637
282489,1,영업/정상,1,영업,서울특별시 강남구 도곡동 456-15 ,서울특별시 강남구 논현로26길 38 지상1층 (도곡동),6300,(주)더부스 도곡점,I,2021.12.10 0:22,호프/통닭,203934.5815,442370.992
282216,1,영업/정상,1,영업,서울특별시 강남구 신사동 560-20 ,서울특별시 강남구 논현로153길 41 지상1층 102호 (신사동),6037,(주)더쇼룸,U,2021.9.3 2:40,기타,202127.6531,446464.4957
289370,1,영업/정상,1,영업,서울특별시 강남구 삼성동 123-9번지 ,서울특별시 강남구 봉은사로68길 33 12층 (삼성동),6155,(주)더츠커피 삼성본점,I,2018.8.31 23:59,까페,204477.875,445328.075
288721,1,영업/정상,1,영업,서울특별시 강남구 역삼동 825-20 ,서울특별시 강남구 테헤란로4길 6 1층 101~105109호 (역삼동),6232,(주)더치맥엔펍,U,2020.9.5 2:40,호프/통닭,202520.9722,443946.8329
288924,1,영업/정상,1,영업,서울특별시 강남구 신사동 663-4번지 지상2층 ,서울특별시 강남구 선릉로157길 24 (신사동지상2층),6018,(주)더호바 압구정엑스,I,2018.8.31 23:59,경양식,203290.1665,447128.54
284653,1,영업/정상,1,영업,서울특별시 강남구 삼성동 141-26번지 이케이타워 ,서울특별시 강남구 테헤란로 407 지상23층 (삼성동 이케이타워),6162,(주)더휴컨벤션,I,2018.8.31 23:59,뷔페식,204369.914,444816.6051
291513,1,영업/정상,1,영업,서울특별시 강남구 도곡동 942-1번지 꿈이룸 명진타워 ,서울특별시 강남구 도곡로 116 지하1층 (도곡동),6259,(주)도곡본점 해우리,I,2019.1.9 2:20,한식,202874.324,443067.2191
289352,1,영업/정상,1,영업,서울특별시 강남구 논현동 96-15번지 지상12층 ,서울특별시 강남구 도산대로50길 14 지상12층 (논현동),6054,(주)도라후구현복집,I,2018.8.31 23:59,한식,203230.8928,446587.4578
280919,1,영업/정상,1,영업,서울특별시 강남구 역삼동 736-45 지하1층 ,서울특별시 강남구 논현로85길 28 (역삼동지하1층),6236,(주)동원홈푸드 삼정회계법인,U,2021.2.11 2:40,한식,203072.339,444068.3358
288352,1,영업/정상,1,영업,서울특별시 강남구 청담동 71-8번지 금융주치의 청담센터 23층 ,서울특별시 강남구 영동대로 707 23층 (청담동 금융주치의 청담센터),6072,(주)드레스가든,U,2020.2.15 2:40,경양식,204871.7523,446495.0438
289373,1,영업/정상,1,영업,서울특별시 강남구 청담동 71-8번지 ,서울특별시 강남구 영동대로 707 지상6층 (청담동 금융주치의청담센터),6072,(주)드레스가든,U,2020.2.15 2:40,경양식,204871.7523,446495.0438
472149,1,영업/정상,1,영업,서울특별시 강남구 논현동 108 논현웰스톤,서울특별시 강남구 학동로43길 38 지하2층 201호 주방35호 (논현동 논현웰스톤),6059,(주)드립드랍 논현점,I,2021.12.8 22:01,기타,203292.307,446247.5115
288153,1,영업/정상,1,영업,서울특별시 강남구 대치동 514-3번지 학여울역 지하1층 ,서울특별시 강남구 남부순환로 지하 3104 지하1층 (대치동 학여울역),6287,(주)드마리스대치점,I,2018.8.31 23:59,뷔페식,206283.0906,443838.6625
286356,1,영업/정상,1,영업,서울특별시 강남구 대치동 896-3 지상2층 ,서울특별시 강남구 선릉로82길 23 (대치동지상2층),6197,(주)디에이치와이,U,2020.11.5 2:40,한식,204520.809,444535.9693
286321,1,영업/정상,1,영업,서울특별시 강남구 청담동 118-10 지상1층 ,서울특별시 강남구 도산대로81길 21 (청담동지상1층),6011,(주)뚜또베네,U,2020.12.26 2:40,경양식,204111.606,447063.2862
290400,1,영업/정상,1,영업,서울특별시 강남구 청담동 118-9 지상1층 ,서울특별시 강남구 압구정로77길 5 (청담동지상1층),6011,(주)뚜또베네,U,2020.12.26 2:40,경양식,204094.6621,447055.9683
280379,1,영업/정상,1,영업,서울특별시 강남구 대치동 889-13 ,서울특별시 강남구 테헤란로 410 지하1층 (대치동 금강타워),6192,(주)뚝심 선릉역점,U,2020.9.2 2:40,한식,204415.9198,444704.998
284808,1,영업/정상,1,영업,서울특별시 강남구 청담동 99-10번지 ,서울특별시 강남구 도산대로75길 16 5층 (청담동),6015,(주)라이브러리,I,2018.8.31 23:59,외국음식전문점(인도태국등),203990.7485,447009.354
281018,1,영업/정상,1,영업,서울특별시 강남구 신사동 582-10 A857 ,서울특별시 강남구 논현로 857 A857 지상1층일부지하1층 (신사동),6030,(주)랑데자뷰 압구정,I,2021.4.3 0:22,기타,202410.6726,447000.7045
286192,1,영업/정상,1,영업,서울특별시 강남구 개포동 1218-16번지 지상1층 ,서울특별시 강남구 개포로22길 35 (개포동지상1층),6308,(주)러빙헛,I,2018.8.31 23:59,경양식,204303.55,441637.11
474432,1,영업/정상,1,영업,서울특별시 강남구 신사동 660-17,서울특별시 강남구 압구정로46길 5-6 지상1층 101호 (신사동 압구정로데오스타),6018,(주)레우레우,U,2021.12.8 22:04,한식,203218.5568,447304.2099
289779,1,영업/정상,1,영업,서울특별시 강남구 신사동 630-21번지 지하1층 ,서울특별시 강남구 언주로152길 14 (신사동지하1층),6021,(주)로니프로젝트,I,2018.8.31 23:59,경양식,203009.2979,446714.2286
281537,1,영업/정상,1,영업,서울특별시 강남구 논현동 244번지 ,서울특별시 강남구 학동로46길 21 지하1층 지상1호 (논현동),6099,(주)루덴스바이루(Ludens by LU),I,2018.10.4 2:37,기타,203379.6121,445844.604
284889,1,영업/정상,1,영업,서울특별시 강남구 청담동 115-14번지 지상1층 ,서울특별시 강남구 압구정로73길 22 지상1층 (청담동),6010,(주)루카오일일,I,2018.8.31 23:59,경양식,204072.273,447230.5346
284056,1,영업/정상,1,영업,서울특별시 강남구 논현동 76-15번지 ,서울특별시 강남구 논현로142길 43 지상1층 (논현동),6051,(주)리나겔러리,U,2019.3.29 2:40,경양식,202834.9906,446198.0206
286797,1,영업/정상,1,영업,서울특별시 강남구 도곡동 467-12 ,서울특별시 강남구 남부순환로 2806 3층 (도곡동 군인공제회관),6292,(주)리더스나인 엠플러스웨딩A,U,2020.8.27 2:40,한식,204600.1807,443010.6422
286798,1,영업/정상,1,영업,서울특별시 강남구 도곡동 467-12 ,서울특별시 강남구 남부순환로 2806 4층 (도곡동 군인공제회관),6292,(주)리더스나인 엠플러스웨딩B,U,2020.8.27 2:40,한식,204600.1807,443010.6422
283216,1,영업/정상,1,영업,서울특별시 강남구 신사동 651-4번지 지상1층 ,서울특별시 강남구 도산대로45길 10-4 (신사동지상1층),6021,(주)리앤푸드,I,2018.8.31 23:59,경양식,203127.773,446766.6217
288236,1,영업/정상,1,영업,서울특별시 강남구 도곡동 467-19번지 현대비젼21   206호 ,서울특별시 강남구 언주로30길 10 (도곡동현대비젼21   206호),6295,(주)명성이 자자한 국시집,I,2018.8.31 23:59,중국식,204469.5145,442797.3618
287376,1,영업/정상,1,영업,서울특별시 강남구 대치동 947번지 ,서울특별시 강남구 영동대로85길 9 지하1층 (대치동),6182,(주)모리아푸드,U,2019.12.11 2:40,한식,205492.595,444987.99
474334,1,영업/정상,1,영업,서울특별시 강남구 대치동 507 윈플러스상가,서울특별시 강남구 남부순환로 2936 지상1층 106호 (대치동),6291,(주)모스버거코리아 대치역점,U,2021.12.4 0:01,기타,205405.125,443463.355
474729,1,영업/정상,1,영업,서울특별시 강남구 논현동 118-17 세한빌딩,서울특별시 강남구 학동로 339 세한빌딩 지상1층 (논현동),6060,(주)모스버거코리아 익스프레스강남구청역점,U,2021.12.4 0:01,기타,203483.6494,446102.2361
282172,1,영업/정상,1,영업,서울특별시 강남구 역삼동 817-33 ,서울특별시 강남구 강남대로98길 12-3 2층 (역삼동),6129,(주)모터시티바이매니멀강남점,I,2020.8.26 0:23,경양식,202396.9589,444262.8223
280657,1,영업/정상,1,영업,서울특별시 강남구 청담동 21-1번지 지상1층 ,서울특별시 강남구 도산대로58길 13 (청담동지상1층),6064,(주)모터쿼드,I,2018.8.31 23:59,경양식,203608.0181,446688.7608
290065,1,영업/정상,1,영업,서울특별시 강남구 신사동 665-10번지 ,서울특별시 강남구 선릉로155길 5 1층 (신사동),6019,(주)몽고네,U,2020.1.4 2:40,경양식,203385.4384,446986.4368
281815,1,영업/정상,1,영업,서울특별시 강남구 신사동 626-70 태경빌딩 ,서울특별시 강남구 언주로153길 12 태경빌딩 지상1층 (신사동),6024,(주)미남옥,I,2021.6.24 0:22,한식,202777.6714,446737.9435
284298,1,영업/정상,1,영업,서울특별시 강남구 청담동 22-2번지 2층 ,서울특별시 강남구 선릉로148길 12-2 2층 (청담동),6062,(주)미노공방,I,2018.8.31 23:59,경양식,203521.0684,446675.2945
469872,1,영업/정상,1,영업,서울특별시 강남구 역삼동 817-5 지상12층,서울특별시 강남구 테헤란로1길 28-3 (역삼동지상12층),6129,(주)미라클브루어리 강남역점,U,2021.12.4 22:09,한식,202374.0386,444248.9189
284296,1,영업/정상,1,영업,서울특별시 강남구 일원동 50번지 ,서울특별시 강남구 일원로 81 (일원동),6351,(주)미림식품,I,2018.8.31 23:59,한식,207534.4946,442943.8604
288858,1,영업/정상,1,영업,서울특별시 강남구 신사동 521-16번지 ,서울특별시 강남구 강남대로160길 29 지상1층 (신사동),6028,(주)미미면가,U,2019.10.25 2:40,일식,201795.277,446428.4912
282784,1,영업/정상,1,영업,서울특별시 강남구 청담동 87-11번지 ,서울특별시 강남구 도산대로 417 지하1층지하2층지하3층 (청담동),6014,(주)미미미 가든,I,2020.4.16 0:23,경양식,203564.6304,446844.8373
280401,1,영업/정상,1,영업,서울특별시 강남구 역삼동 739-13번지 서연빌딩 ,서울특별시 강남구 역삼로17길 53 지상23층 (역삼동),6237,(주)미톨로지(돝고기506),I,2018.8.31 23:59,한식,203133.5632,444004.4648
290143,1,영업/정상,1,영업,서울특별시 강남구 도곡동 448-2번지 ,서울특별시 강남구 양재천로 163 4층 (도곡동),6302,(주)바디프랜드,I,2018.8.31 23:59,외국음식전문점(인도태국등),203822.3883,442131.9417
291493,1,영업/정상,1,영업,서울특별시 강남구 대치동 983-1번지 S-TOWER(해암빌딩) 지하3층 ,서울특별시 강남구 영동대로 325 지하3층 (대치동 해암빌딩),6188,(주)바운스 트램폴린파크 삼성센터,U,2019.1.31 2:40,경양식,205677.5225,444555.6445
282299,1,영업/정상,1,영업,서울특별시 강남구 삼성동 159-8 파르나스타워 ,서울특별시 강남구 테헤란로 521 파르나스타워 지하1층 F-25호 (삼성동),6164,(주)바토스파르나스몰,I,2020.8.9 0:23,경양식,205314.1599,445204.7093
285569,1,영업/정상,1,영업,서울특별시 강남구 논현동 242-49번지 지하1층 ,서울특별시 강남구 선릉로127길 5-5 (논현동지하1층),6099,(주)박정민,I,2018.8.31 23:59,분식,203594.9727,445889.2964
286508,1,영업/정상,1,영업,서울특별시 강남구 신사동 666-4번지 지상2층 ,서울특별시 강남구 선릉로153길 5 (신사동지상2층),6019,(주)반,I,2018.8.31 23:59,한식,203369.0255,446914.7629
290522,1,영업/정상,1,영업,서울특별시 강남구 압구정동 494 갤러리아백화점 ,서울특별시 강남구 압구정로 343 갤러리아백화점 지하1층 (압구정동),6008,(주)밸런티 압구정점,I,2022.2.18 0:22,기타,203470.8484,447369.5799
133206,1,영업/정상,1,영업,서울특별시 강남구 신사동 655,서울특별시 강남구 도산대로51길 36 1층 (신사동),6019,(주)벽돌해피푸드,U,2021.12.7 0:01,기타,203306.1624,447021.8407
284853,1,영업/정상,1,영업,서울특별시 강남구 도곡동 467-29번지 타워팰리스스포츠클럽에스동지상1층 ,서울특별시 강남구 언주로30길 26 (도곡동타워팰리스스포츠클럽에스동지상1층),6294,(주)벽제타워팰리스,I,2018.8.31 23:59,한식,204602.5634,442794.5745
470755,1,영업/정상,1,영업,서울특별시 강남구 역삼동 837-11 유니온센터오피스텔,서울특별시 강남구 강남대로 310 유니온센터오피스텔 지상1층 101호 (역삼동),6253,(주)보나비 아티제 강남유니온센터점,U,2021.12.4 0:02,기타,202725.9621,443203.5616
280703,1,영업/정상,1,영업,서울특별시 강남구 대치동 989-2 지상1층 4567호 ,서울특별시 강남구 도곡로 510 (대치동 지상1층 4567호),6282,(주)보나비 아티제 대치은마점,U,2021.5.8 2:40,까페,205408.7378,444079.8449
289766,1,영업/정상,1,영업,서울특별시 강남구 신사동 651-23 ,서울특별시 강남구 도산대로 317 지상1층 (신사동),6021,(주)보나비 아티제 도산로점,U,2021.5.9 2:40,경양식,203115.7494,446704.0549
288455,1,영업/정상,1,영업,서울특별시 강남구 역삼동 675-3 ,서울특별시 강남구 언주로 517 1층 101호 (역삼동 KT강남빌딩 영동지사 호텔동),6139,(주)보나비 아티제 역삼신라스테이점,U,2021.5.8 2:40,까페,203578.799,444715.3949
478790,1,영업/정상,1,영업,서울특별시 강남구 역삼동 679-4 서울인터내셔널타워,서울특별시 강남구 테헤란로 203 서울인터내셔널타워 지상2층 (역삼동),6141,(주)보나비 아티제 역삼역점,U,2021.12.3 22:08,기타,203267.0859,444376.2729
287085,1,영업/정상,1,영업,서울특별시 강남구 일원동 50 삼성의료원본관 지하1층 ,서울특별시 강남구 일원로 81 지하1층 (일원동 삼성의료원본관),6351,(주)보나비 아티제 일원점,U,2021.5.9 2:40,경양식,207534.4946,442943.8604
289460,1,영업/정상,1,영업,서울특별시 강남구 삼성동 159 ,서울특별시 강남구 영동대로 513 지하1층 J-101B호 (삼성동 기존컨벤션센터),6164,(주)보나비 아티제 코엑스몰점,U,2021.5.9 2:40,까페,205130.5917,445590.0968
285526,1,영업/정상,1,영업,서울특별시 강남구 도곡동 467-29 ,서울특별시 강남구 언주로30길 26 지상1층 (도곡동),6294,(주)보나비 아티제 타워팰리스점,U,2021.5.8 2:40,경양식,204602.5634,442794.5745
